index,Question,Segment Type,Segment Description,Answer,Count,Percentage
229,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,This is lame,6,0.286
230,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,Get that money! ,4,0.19
231,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,Other (comment) ,4,0.19
232,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,Is this product cool?,152,0.222
233,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,This is lame,310,0.453
234,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,Get that money! ,175,0.255
235,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,Other (comment) ,48,0.07
236,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,Is this product cool?,2,0.2
237,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,This is lame,4,0.4
238,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,Get that money! ,2,0.2
239,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,Other (comment) ,2,0.2
240,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,Is this product cool?,2,0.118
241,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,This is lame,7,0.412
242,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,Get that money! ,7,0.412
243,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,Other (comment) ,1,0.059
244,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),Is this product cool?,2,0.111
245,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),This is lame,8,0.444
246,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),Get that money! ,5,0.278
247,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),Other (comment) ,3,0.167
248,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,Is this product cool?,1,0.091
249,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,This is lame,6,0.545
250,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,Get that money! ,4,0.364
251,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,Other (comment) ,0,0.0
252,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,Is this product cool?,1,0.25
253,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,This is lame,3,0.75
254,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,Get that money! ,0,0.0
255,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,Other (comment) ,0,0.0
256,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,Is this product cool?,81,0.229
257,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,This is lame,161,0.455
258,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,Get that money! ,80,0.226
259,What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,Other (comment) ,32,0.09
260,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",Is this product cool?,99,0.227
261,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",This is lame,200,0.459
262,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",Get that money! ,107,0.245
263,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",Other (comment) ,30,0.069
264,What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,Is this product cool?,9,0.391
265,What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,This is lame,11,0.478
266,What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,Get that money! ,1,0.043
267,What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,Other (comment) ,2,0.087
268,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",Is this product cool?,0,0.0
269,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",This is lame,1,1.0
270,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",Get that money! ,0,0.0
271,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",Other (comment) ,0,0.0
272,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",Is this product cool?,3,0.158
273,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",This is lame,10,0.526
274,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",Get that money! ,4,0.211
275,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",Other (comment) ,2,0.105
276,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",Is this product cool?,6,0.24
277,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",This is lame,9,0.36
278,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",Get that money! ,7,0.28
279,What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",Other (comment) ,3,0.12
280,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,Is this product cool?,26,0.236
281,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,This is lame,52,0.473
282,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,Get that money! ,26,0.236
283,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,Other (comment) ,6,0.055
284,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,Is this product cool?,46,0.21
285,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,This is lame,111,0.507
286,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,Get that money! ,47,0.215
287,What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,Other (comment) ,15,0.068
